form	categorical_judgment
d a c a a c d b d d b d c c b b b d b d	grammatical
d a d a d d b b a d a c b a c a c a a c	grammatical
d b a b c c d c d d d c c b d d d a b b	grammatical
d b b c a d a d a c d d a b d d c d c c	grammatical
d b c d a c a d d c b c c d b b c b c b	grammatical
d b d d c b a d b a d d a a c d a d c d	grammatical
d c b b a b b b d c c c d c d c c b d d	grammatical
d c c c b c a c c c c c a d d c a c d d	grammatical
d c d d b b a b d d d d d b a d d a d c	grammatical
d d b a d c c b b c d c c b d b c c a b	grammatical
d d c c d b a b b b c a a d a c d a a b	grammatical
a a a a a a a b a a a b a b a b a b b a	ungrammatical
a a b a b a b a b d b d d b d a d c c c	ungrammatical
a a b b c d b c a d d d a b a b a b a c	ungrammatical
a a d a c d b a a a b a b a b c c c a a	ungrammatical
a b a b a b a b a a d b a c d c c b d d	ungrammatical
a b a b a b b a d d b a b d d a b d b b	ungrammatical
a b a b a b c c a d a c a b a c c d b d	ungrammatical
a b a b a b d c c a a b a b c d c a b d	ungrammatical
a b b b a b c a b a b a b a a c b a c c	ungrammatical
a b c d c a b a b a b b b b d b c c c d	ungrammatical
a c a b b d b b b a a a b a b a b c c d	ungrammatical
a c c b b a d b a d b b a b a b a b a a	ungrammatical
a d a a a b a b a b a c b a b b d d a a	ungrammatical
a d b b a b a b a b d c d c d d c a b d	ungrammatical
a d d a b d c d d a a b a b a b c a b a	ungrammatical
b a a b d c a b c d d a b a b a b a a c	ungrammatical
b a b a b a b c c d d c b d d c c d c d	ungrammatical
b a c a b a b a b a c a c b a b c c c c	ungrammatical
b a d d b a a b a b a b a d d a b b a d	ungrammatical
b b a d b a a b a b a b b b a b c a d c	ungrammatical
b b c c c d b c b a b a b a b c d a d c	ungrammatical
b c a b a b a b a b d a d c a a d c c d	ungrammatical
b c b c b b b b d a c d b c a b a b a b	ungrammatical
b c d a b c c d d a b b b a a b a b a b	ungrammatical
b d a c b d b c c a a b c a b a b a b c	ungrammatical
b d c a a a b d d d c b c a b a b a b c	ungrammatical
b d d c a b a b a b c b d c a c a a b a	ungrammatical
c a a c b d b d c d d c d a b a b a b b	ungrammatical
c a b a b a b d c b a c b a c d d d d b	ungrammatical
c a c b c d b b a b a b a b a c c d b c	ungrammatical
c b a a a b a b a b d a b c c d d d a b	ungrammatical
c b b a c a a a b d b c b a b a b a b a	ungrammatical
c b c c a a b a b a b c d d c d c b d d	ungrammatical
c c a a b a b a b b a b d b d b b a a c	ungrammatical
c c b a d a b b b a b a a b a b a b c b	ungrammatical
c c c d c d a b a b a b c d d d b c b c	ungrammatical
c d a b a d a a b a b a b d d d b c d a	ungrammatical
c d c a a b a b a b a b a c a c b c c a	ungrammatical
d a a a b a b a b c a c b a c b a b d b	ungrammatical
d a b a b a b a d c a d c d b b c a b d	ungrammatical
d a b d a b a b a b c c c c b c a b a a	ungrammatical
d a d a c b c a c b c d a a b a b a b b	ungrammatical
d b a b b b d a b a b a b b d c a b a d	ungrammatical
d b c a a b a b a b c a c a a d d a a d	ungrammatical
d b d c a b a b a b b b c a a b a a b b	ungrammatical
d c a c b b a d d d c a b a b a b d b c	ungrammatical
d c c a a a a a b a b a b a a c a b b b	ungrammatical
d c d d a b a b a b b d b d d c c d d b	ungrammatical
d d a d a d a d c b b d b a b a b a b d	ungrammatical
d d c b b c a b a b a b a a b a b b d c	ungrammatical
a a a a a a d c d b d c d b d b b b d d d	grammatical
a a b b c c b c a b d b b b d d a c b c d	grammatical
a a c d b b d b d a b b b d a d b a a c c	grammatical
a a d d d b d d a a a b d c d c c b c a b	grammatical
a b b a a c c a d a b c d d c b c b a a a	grammatical
a b c b a c c a a b d b d b a a d d d b b	grammatical
a b d b d c d c a c c b d b c a a d a d a	grammatical
a c a d c a b d a b d d a d a d c c d a a	grammatical
a c b d b c a b a a d c c a b d b d a d d	grammatical
a c d a c b d c d d b b c d a c a c c d c	grammatical
a d a b c b b a b c a d b b d c c d c c c	grammatical
a d b c c a c c d b c b a c c b c a c d a	grammatical
a d c d c c d c d c c d c b d c c a b b b	grammatical
b a a b a c d d b b a b d c a a c b c b a	grammatical
b a b c a c c b c b b b c c b a c d c b b	grammatical
b a d a a c a a b c c b a d b b c c b d b	grammatical
b b a c a c b b a c c d d c a c b c d d d	grammatical
b b c a a b a a b c d c d a c d b d b d c	grammatical
b b d a b a c d a a d d b a c c c b a b a	grammatical
b c a a d c d d b d c b b a b a b b b d c	grammatical
b c b c d c d d b d a a c c d c b c d a a	grammatical
b c d a b b b d a c c d d b d c b a d b c	grammatical
b d a a b b b d a c d c b a a d d c c b d	grammatical
b d b c a b a c b d a c a a d c a a d d d	grammatical
b d c c c c b d c d b a c d c a a d b a d	grammatical
c a a a a d a c c d c b c c a a a a a b b	grammatical
c a b c a c c a c b d c c d d d d c a a d	grammatical
c a c c c d d a b c c c b d b c a b c b b	grammatical
c a d d c c c b a b d d c d d d b b c c d	grammatical
c b b b a d d a d b a c c a c d a b b c d	grammatical
c b c c c a a b d c d d c a c c b b c c d	grammatical
c b d d b a a b d d a b c d c a b b d b c	grammatical
c c b a c a c c a d c a d d d d d c d d d	grammatical
c c c b b b b a c c c c a a b b d a c b a	grammatical
c c d c b d b d c a d a a b a d a b c c b	grammatical
c d a d d b a d d b c a c d c d d d b b a	grammatical
c d c a b c d b c c b c b b a d c d a a a	grammatical
c d d b a c d d b a a b b b a b a d d d b	grammatical
d a a c b c a c c a c d d a b b a a d a d	grammatical
d a b d d c b a b b c d d b d d d d b c c	grammatical
d a d a c b a d d b c d d c c d a a a d b	grammatical
d b a b c d d c c d d d d d c c b d c c c	grammatical
d b b c b d d a c d a a b b b d b b b c d	grammatical
d b c d b a d b c d a d a a c c d a a a c	grammatical
d b d d d d c b b c c d b d c a b b b b c	grammatical
d c b b b d d c c a d c a d c b a d c c d	grammatical
d c c d c d b b a b c a a a c a b d a b b	grammatical
d d a a c c c b a c c d c a d d b a a d c	grammatical
d d b b b a c c d c c d a c c a d d b d c	grammatical
d d c d c d d b a d c a d b b a a d d b a	grammatical
a a a a a a a d d d b b c b a b a b a b a	ungrammatical
a a b a b a b b c a b d d c a b d a a b b	ungrammatical
a a b d a c c d d d d d b d a a b a b a b	ungrammatical
a a d c b d a b a b a b c d c a d c b a b	ungrammatical
a b a b a b a d a b c c b c b a d a a d c	ungrammatical
a b a b a b b d c a c d d d a d d c c b b	ungrammatical
a b a b a b d a a c c c d c a c d d c b a	ungrammatical
a b a d a b a b a b d d b d a a d b d c c	ungrammatical
a b c b d c a b a b a b d b c c d b c b b	ungrammatical
a c a a a c b a b b c a b a a b a b a b a	ungrammatical
a c b b b a a b a b a b b a b c c b d a b	ungrammatical
a c c d a a b d b c c d a b a b a b c b d	ungrammatical
a d a a d a d c b b c a b c b a b a b a b	ungrammatical
a d b c c b a d a b a b a b b d c a a c d	ungrammatical
a d c d d d a b a b a b a c d c a c a b c	ungrammatical
b a a b a a c b d a c c d d a b a b a b d	ungrammatical
b a b a b a b b a b c d d b d d b b a a d	ungrammatical
b a c a a a c c b c a b a b a b c d c a b	ungrammatical
b a d b d a d a b a b a b a a a c c b a c	ungrammatical
b b a c c d a d b a b a b a b c c c a a c	ungrammatical
b b c b c a b a b a b a c d c d b a a b c	ungrammatical
b b d d a b d c b c b c d c a a b a b a b	ungrammatical
b c a d c a b a a b a b a b b c a c b a a	ungrammatical
b c c c a c b a b a b a b c d b c b b a b	ungrammatical
b d a a b a b a b b c c c c d d c c a d c	ungrammatical
b d b b c b b a b a b a b b d c b d b a c	ungrammatical
b d d a a b a b a b b c b d a c a a b d b	ungrammatical
c a a c b a d b b c b c c a d a b a b a b	ungrammatical
c a b a b a b d b b d d a d d a a c b c c	ungrammatical
c a c a d a d c c a a b a b a b d b c a b	ungrammatical
c a d c c a b c b b c c b c c a b a b a b	ungrammatical
c b a d c a a a a a d d a b a b a b b a a	ungrammatical
c b c a d d c c a d d d b a b a b a b c c	ungrammatical
c c a a a a c b d a a b a b a b c a b c c	ungrammatical
c c b a b a b a b d b c d c b b c c b b d	ungrammatical
c c c d d d a b a b a b a d b c c d d a c	ungrammatical
c d a b a b a b d a c d a d c a a d c c c	ungrammatical
c d b d a c d d b a a b a b a b d c c c a	ungrammatical
c d d b a a a b a b a b a c b c c d d c c	ungrammatical
d a a c a c b c c d a b a b a b d d c b a	ungrammatical
d a b a b a b d a d d c b b b a d c c d a	ungrammatical
d a c b d d d b a c d a d a b a b a b a b	ungrammatical
d b a a d b c d a d d d a b a b a b c b d	ungrammatical
d b b c a d a a b a b a b c d d c a c b c	ungrammatical
d b c d d d c b a c c d b a b a b a b a d	ungrammatical
d c a b d a b c b a b d d d a b a b a b a	ungrammatical
d c c b b a b a b c a b a b a b d d c d d	ungrammatical
d d a a a d c c a b a a b a b a b a c b c	ungrammatical
d d b a a b a b a b a d d b d a a b b d b	ungrammatical
d d c c a c c a b a b a b d d b d d b d d	ungrammatical
a a a a a a c b a d d b a a c c c b c d c d	grammatical
a a b b b a a a c d d c d d c c c c a c c b	grammatical
a a c c a d c c b a b a d b a c a d a a c a	grammatical
a a d d b b a c d d c d c a b b d d b d c d	grammatical
a b b a c c c c a d c c c d b b b a b a b a	grammatical
a b c b c a b a c c a a d b d b b b b a b b	grammatical
a b d d c a a d b b a a c c b a b d a c b d	grammatical
a c b a b a c d b d c a d b a a a d d c c d	grammatical
a c c b c a b a b d a c d d c b d c b b a c	grammatical
a c d c b a b b a c c a c c d a c d d a c c	grammatical
a d a d c b a b c a c d a c c c b b a a a d	grammatical
a d b d c d a b c a d d c a a b c c a b b c	grammatical
a d d a d d a a a a b a c a d c b c c b c a	grammatical
b a a b d b a b a c c d b d c b c b a b a d	grammatical
b a b d b a d b a d a d c b b d d d d b a b	grammatical
b a d a d d d a d d a a b a c c d b d b d d	grammatical
b b a b d c d b c c b d c a c b c c b c c b	grammatical
b b b c d b a a d b a d b a d a c c c a b b	grammatical
b b c d b c b c a c c c c b d c c d a d c c	grammatical
b c a b b c b c b c c a a c c b d b a d c a	grammatical
b c b c a c b c d b b d d b c d d c d a c c	grammatical
b c c c c d b c c b c a a d d b a b d c c a	grammatical
b c d d b a a b b b a a c d d d a b c c b c	grammatical
b d b a d d c a b b d a c c d d b c d d d c	grammatical
b d c b c b d c c c c b a c d d c b b c c d	grammatical
b d d c b c d d a d d c b d a c a a b c b a	grammatical
c a b a a c d c c b a a b c a a a b d b b b	grammatical
c a c b a b d b d d b d a c a c a a d d b d	grammatical
c a d b d d b b c d a a d b b d d b b d d c	grammatical
c b a d c c a c c c d a b c d b d d a c b b	grammatical
c b c a c d b a a c b d b b b a a c a b c b	grammatical
c b d b c a c c d c a c d d b a b b a b c c	grammatical
c c a c b d d a a b b c d c a d d a d b d d	grammatical
c c c a a c c c c c c a c c d c d c d b d b	grammatical
c c d a d b c d c b b a b a c a b a a a a d	grammatical
c d a b c b d a c b c a c c a c b a b c d d	grammatical
c d b c d c b a c a b b d b a c d a d d d a	grammatical
c d d a b d c a d b a b c a b a a b a c c c	grammatical
d a a b c c c c d c c c b b d c d d c d c b	grammatical
d a b b d b a b c a c a c d a c b c b b d a	grammatical
d a c d c c a d a b a c b b c c d b b d b a	grammatical
d b a a b a d d d a c b b b a b d c b d c c	grammatical
d b b b c d a c d c d b d b d b d b c d b d	grammatical
d b c d b c c b c a c a a c c d c d d d b c	grammatical
d c a a d a a c c d b c b c d c b d a a b c	grammatical
d c b c d a a c b a d a a d b c a a d b d c	grammatical
d c c d c a d d a a a c d d a d a d a b d b	grammatical
d d a a c b c b c a a b a c b b a b b d c d	grammatical
d d b c b d d d a b b d b c b c b a b a a c	grammatical
d d c d a c c a d b c d a c d b c c c b d a	grammatical
a a a a a a b a b a b a a b d b b a a c d c	ungrammatical
a a b a b a b b b d d d c d a b c d a c c c	ungrammatical
a a b d c c d a a a b a b a b c b b c a c d	ungrammatical
a a d b c c b d c a c a b a b a b d d b a d	ungrammatical
a b a b a b a c a b c a b d d d d b b c c c	ungrammatical
a b a b a b b d c b c b a a a d d b d b d b	ungrammatical
a b a b a b d a d c c c d c c c b d b c b a	ungrammatical
a b a c d c a d c c b d d a b a b a b a d a	ungrammatical
a b c b c b a b a d c d a b a b a b d c b a	ungrammatical
a c a a a d a c a a b a b a b c c d a c c c	ungrammatical
a c b a b b b d d a b d a b a b a b b d c a	ungrammatical
a c c c b a b a b a b a c c c a b d a b d a	ungrammatical
a d a a a a a b a b a b a b c c b d c d c a	ungrammatical
a d b a b a b a b b a b d d d d a a b a d b	ungrammatical
a d d a a b a b a b c c b d a c d a a b c d	ungrammatical
b a a b a b a b d c b c d c a a d a c d c b	ungrammatical
b a b a b a b d d a d d d b c d d c a b d d	ungrammatical
b a c b c a a b a b a b a a a d b d b b c b	ungrammatical
b b a a b d c a c a c c a b a b a b d d c d	ungrammatical
b b b b a b a b a b a c c b b a d b c b b c	ungrammatical
b b c c b a b a b a b a b b b a b b b b d d	ungrammatical
b c a a b a b a b c a d a b b c c d d c b a	ungrammatical
b c b a c b d b b b a d d b a b a b a b b d	ungrammatical
b c c c b b b c b b b a a b a b a b d c b a	ungrammatical
b d a a b d b c d d a b a b a b c a d d c a	ungrammatical
b d b b a b a c d a b c c a d b a b a b a b	ungrammatical
b d d a b a b a b b d b d b c c b c c d a a	ungrammatical
c a a b a b a b c a c c b a b a a c a b d c	ungrammatical
c a b a b a b c b b d d b a a c a c d c c b	ungrammatical
c a c b c d d a b a b a b c a a d a d a b a	ungrammatical
c b a a b a b a b a d b c c b b d d b c d b	ungrammatical
c b b b c a b a b a b b d a c d b c c d a a	ungrammatical
c b d a b a b a b d a a c d b a a c a b c a	ungrammatical
c c a b a b a b d b d d c b d c d a a c a a	ungrammatical
c c b c d b a c a d b a c b c a b a b a b b	ungrammatical
c c c d d b d b b d a c d c d d a b a b a b	ungrammatical
c d a b a b a b a a b b c d a a b d a c a a	ungrammatical
c d b c d d a a b a b a b c c d d c a a a a	ungrammatical
c d d b d a a b a d b d c b d a b a b a b d	ungrammatical
d a a c b d c c d a c b d c a a b a b a b d	ungrammatical
d a b a b c a b a b a b c c a c b a d b d a	ungrammatical
d a c d d c d b a b a b c d b d a b a b a b	ungrammatical
d b a b a b a b b a b d a d b b d a a c c c	ungrammatical
d b b c b a a a c d b b c a a b a b a b b b	ungrammatical
d b d a b d d c d b d d a b a b a b d a d b	ungrammatical
d c a b a d a b a b a b a d c d a d c d d a	ungrammatical
d c b d c a a a b a b a b d d c a c a b c d	ungrammatical
d c d b b c a b a b a b d d a b b c d b b c	ungrammatical
d d a c c a c d b d c a d a b a b a b c a d	ungrammatical
d d c b a a b c b c b a b a b a b b c a c d	ungrammatical
a a a a a b b c d c a d b a b c c c d b a d d	grammatical
a a b b c d d b d d b c d b b c a c c a d d d	grammatical
a a c c c b d b a c b c a d a c b b b b c a c	grammatical
a a d d c c d b a d a a d c c a b d c c b b a	grammatical
a b b a c c d a c b b d b c c b a b c d c a d	grammatical
a b c b d c a a d a b c b a a a c c a d d a b	grammatical
a b d c d d a d a b b c a a a d a d a c b d a	grammatical
a c a d d d c b a a d d d a d c c c c a a d b	grammatical
a c c c a c d b a a c b d a c b d c a a d a a	grammatical
a c d c c b b b b d d b b c d b d a d d a b d	grammatical
a d a d a c d d b a c c c b b d d a d c b c b	grammatical
a d c a c a d b b b c d c b d b c b b a b b d	grammatical
a d d b c c a d d d d d d c d d a a b b c b b	grammatical
b a a c c b b a a c c b b a c a d d b b c c a	grammatical
b a b d c b a b d a a d b d c d d d b c c c d	grammatical
b a d b c d a a b d b b a c b d b c a b c b b	grammatical
b b a c d a a a d b b b b b c d d a d a a d a	grammatical
b b b d d a a a d d b a a d a d a a d d c d b	grammatical
b b d a a d a b d d a d c b d d d b a a a c b	grammatical
b c a b a c d d c d c a b a c d d a d b b a a	grammatical
b c b c c a a a a b d c c a d d b a c d c d c	grammatical
b c c d b d d d b b a c a d d b d a c c c c c	grammatical
b c d d d c d b c c c b d c a b c d c a c b b	grammatical
b d b a d d b a d b d c d a a b d d b c c c a	grammatical
b d c c b c a b c a b b b d c b b a a a b c c	grammatical
b d d d d c c a b a b d b d c c d a b d a a b	grammatical
c a b a b b a c a c a d d c d b c b d d a b d	grammatical
c a c b a d d c b d b c a d b c d d a c b b d	grammatical
c a d c a d b a a d b c c b a b c a c a c c a	grammatical
c b a c d c b d c c b b b b b d d b a b c c b	grammatical
c b c a b d d b d d c d b d b a c c a a d c d	grammatical
c b d c a a c a c a d b b d a a a c a b d d c	grammatical
c c a c c b d d b c c a d a c d c a c a a c a	grammatical
c c c a b a b a c d c b a a c c a b a b d d b	grammatical
c c d a d b b d c d d d a a d a c c c c c a d	grammatical
c d a c a d c a c c c d c a d c a b b c d d d	grammatical
c d b d b b a c a a b d b a a a a c a c a b d	grammatical
c d d a d a a b a c b a a d b c d d d b b d d	grammatical
d a a b d b a a c b a a d a a d c a c b d a b	grammatical
d a b c b a b a c a b c d b a c a b c c a a b	grammatical
d a d a a d a d a a c c d a b c c a b c a a c	grammatical
d b a b a c c c a d d d d a d b a d a d b b b	grammatical
d b b c c b d b b b d a b c a b d d c b a d a	grammatical
d b d a c d b d c d d a c d d c a a a c b b b	grammatical
d c a c a d d a b a a b b c c c c c b c a c a	grammatical
d c b d a a c b c a c c d a a a b c a a c d c	grammatical
d c c d c d a d a d c b a d b c c a a b a d a	grammatical
d d a a b b a c b b d a c b d b b d a c b d c	grammatical
d d b c a d a d a b d b a b c c d d b a a b b	grammatical
d d c c c d a b b c c a c b b d c b a d d b c	grammatical
a a a a a b a b a b a b b d a d b c a a b b a	ungrammatical
a a b a b a b a c c d b b c c d c b a d a a c	ungrammatical
a a b d b d c a b c a d d b a b a b a b a a c	ungrammatical
a a d b d a b c d d c a b a b a b c a a c c c	ungrammatical
a b a b a b a d a c d d c d d c a c b c a d a	ungrammatical
a b a b a b c a a d d d d c c c d d d a c d a	ungrammatical
a b a b a b d c a c b a c a c a a b b b c d b	ungrammatical
a b b c d a b a b a b d d c d c b a a c b b d	ungrammatical
a b d b c a a d c d d a a a a b a b a b b c b	ungrammatical
a c a c b b d d a d d d a b a b a b b c b a d	ungrammatical
a c c a b a b a b d b d b b b d c a c a a a d	ungrammatical
a c d c a c c b b d c b c d d b d a b a b a b	ungrammatical
a d a c a d b a d b a b a b a b d d c c b b d	ungrammatical
a d c a b c d d b b a c c a d c a b a b a b d	ungrammatical
a d d c c a c b a a b a b a b b d c c c a d b	ungrammatical
b a a d c b b a b a b a b a d c b c b b a a b	ungrammatical
b a b c a a b a b a b c c c a a a b a b a a c	ungrammatical
b a d b a d d d b a d a b a b a b c c a c a d	ungrammatical
b b a b d a d d c c d b b b d b c a b a b a b	ungrammatical
b b c a b d d c d d a a b a b a b d a c a a a	ungrammatical
b c a a a a a a b a b a b b d b a a c d b a c	ungrammatical
b c b b b a b a b a b d d c d a c c c a d a d	ungrammatical
b c c d a b a b a b a d a d d a b c c d d c b	ungrammatical
b d a b a a b a b a b d b b a b a d a c a d a	ungrammatical
b d b c c c a d b b a b a b a b b d c c a c a	ungrammatical
b d d a b b a d c d b c a b a b a b d b b d a	ungrammatical
c a a b a b a b d d c b d d d d c a a b b b c	ungrammatical
c a b a b a b c c a a b c d b c c b a a d d c	ungrammatical
c a c a a c a b a b d c b a b a b a b d d b d	ungrammatical
c a d b a c c d d d d a b a b a b c a d c a b	ungrammatical
c b a c c d b a a b a b b a b a b a b b a b b	ungrammatical
c b c a c d a b a b a b d c c c b a a d c c d	ungrammatical
c b d d b b b c c c a b a b a b c c b c a d a	ungrammatical
c c b a b a d a a c c a d a d c d a b a b a b	ungrammatical
c c c c a b a b a b a d d a b b a c a c d a b	ungrammatical
c c d d b c d b d b b b a c d a b a b a b a a	ungrammatical
c d b a c d b a b a b a b a b c d a c a c b c	ungrammatical
c d c d a d b b d d a c a c a b a b a b d c c	ungrammatical
d a a a b a b a b a b c b b c a c a b a a a a	ungrammatical
d a b a b a b a b c a a d a c b d c d b d d d	ungrammatical
d a b d a b a b a b c c c c a c b b d a d b d	ungrammatical
d a d b b a a b d a d b d a b a b a b b a a c	ungrammatical
d b a d a a b a b a b b c a b c b c b c a a b	ungrammatical
d b b d d b b b c a c d b a b a b a b a c d c	ungrammatical
d b d c b d a d a c d c a b a b a b a c c b c	ungrammatical
d c a d c a d a b a b a b d b a d c b c a b b	ungrammatical
d c c b a c a c d d a a c c c d b a b a b a b	ungrammatical
d c d c b c b d b b b d a c d b a b a b a b a	ungrammatical
d d b a a a b b b a c c d c d a b a b a b d c	ungrammatical
d d c b d b c a c a b a b a b b a c d c a d a	ungrammatical
a a a a a b c b d a a b c b c a c a c c c a a c	grammatical
a a b b a c c d b a d d d c b d a b c d a c a b	grammatical
a a c c b b b c a d b d a d d a c d b a b d d a	grammatical
a a d d c a a a b b a a b c d a a c d b a b b d	grammatical
a b b a c d a b c a d b c a c b d a c c a d c b	grammatical
a b c b c c b b c a d d d d b a b d d a a c d c	grammatical
a b d d a c b d c a b d a c a d a d a b c b c a	grammatical
a c b a a d b b b d c a a b a c a d d c b b b b	grammatical
a c c a d d c d a d b d a d d a a c a d b a d a	grammatical
a c d d b c d a c b d d c c b a d a b d b b d d	grammatical
a d a d d c d b a d a d d c c b c d a c c a d b	grammatical
a d c b a d c b a b a c a c a d b a b d c a a a	grammatical
a d d c b b b a b a c d b c c d c d c d c b a c	grammatical
b a a c c b b c a d c a a d d c a c c a a d a a	grammatical
b a b d c d a b a d d a b c d a b b d a c d d b	grammatical
b a d b b b a c c a a d a c b b b a c b a b c c	grammatical
b b a c a d c d b b b d c b d c a d c a c b a a	grammatical
b b b d a d a b a c c a b c c c a d c c c d a d	grammatical
b b c d d b d b a d a a d a b a a b d c b d a d	grammatical
b c a a b c b a c b d b a a d a d d c b c d c b	grammatical
b c b c a d d d c c b c d b c a b c c c b b c b	grammatical
b c c c d b c a d a d d d c a a b a c c a c c b	grammatical
b c d d b d a c d c c b a c c d b c d d a b d a	grammatical
b d b a b c c c b c d c c a b a d c d a b a b d	grammatical
b d c b b a a b c d c d a b b b a a c c c a d a	grammatical
b d d c d a b d b b b a c c b b b b d c c c d b	grammatical
c a a d b d a b c c a a d d a b a d a d c d c d	grammatical
c a b d d d b b a b c b d b c c b d b d c a c c	grammatical
c a d a d c a b a b b b a a d b c b a c a d b a	grammatical
c b a c a d a d b b a a a c b c b c b d d d a c	grammatical
c b b d b b d b b b b d a a d c c b d a d d c d	grammatical
c b d a d d a c b d d d d d c d c d d d d b d c	grammatical
c c a c c b b c c a c d c a d d b b b c a a c d	grammatical
c c b c d b d b d b a b c b d c c c b d c a a a	grammatical
c c d a c d a c d b d c d a d d a c c b c a c b	grammatical
c d a b b d c a b d d b a d a a c b c d b c a a	grammatical
c d b c c d b c d b c d b a a a a a b a a a b d	grammatical
c d c d d c d a a a a a d b b d a c b c b c b d	grammatical
d a a a c a b d a b d d c b b d d c d a d d c c	grammatical
d a b c c d b c d a b d a d c c d b b a b d a c	grammatical
d a c d b d b c b c a b a d a c d d a c a a a b	grammatical
d b a a d d d b a a c b d b c c b d c c d b c d	grammatical
d b b c a b c c c a d b d a d a c b a a d a c c	grammatical
d b c d c b d b d b d d b b c a d a d d d c b c	grammatical
d c a b c b b d a d a c d a c c d b c c a a a d	grammatical
d c b d d b a c c a b d b a b a c a d c d c a d	grammatical
d c d a b c d d b a d c a c d b d b a c d d b a	grammatical
d d a b c d d d c a c c a a c d d d a a a b d a	grammatical
d d b c d d a d a a d a d a b a d d d b d d b a	grammatical
d d c d d a d b a a b c d b d d d c b d b c b a	grammatical
a a a a a a c d d a b c a d d a b a b a b a a c	ungrammatical
a a b a b a b a b b d b d b d c b d a d d a c c	ungrammatical
a a b c a c b c a b a b a b d a c d b d c c d b	ungrammatical
a a d a b a b a b b d a d d a c b d d a c a a a	ungrammatical
a b a b a b a a b b c a a a a b c b a c c d c c	ungrammatical
a b a b a b b c b d b d b a b a d a b b d c a d	ungrammatical
a b a b a b d a b b a c b c d d a b c b d c a c	ungrammatical
a b a d d c d a d a d c a a d c d a a b a b a b	ungrammatical
a b c c a c c a a b a b a b c c b b b d a b d d	ungrammatical
a b d d b c a b c d c b a a b a b a b c c a b b	ungrammatical
a c b a d b d a c c d a d c a a a b a b a b a c	ungrammatical
a c c c d a d c c b c b b b a b a b a b d c a c	ungrammatical
a d a b a a b a b c a a a b a b a b d d c d c a	ungrammatical
a d b c c a d b d c a b a b a b c a c a c d a c	ungrammatical
a d d a b a b a b c a c a d b b c c b b d b d d	ungrammatical
b a a b c c d a a d c c a c b a a a a b a b a b	ungrammatical
b a b a b a b d d b c b d b b a b d b a a a b c	ungrammatical
b a c b c d a b a b a b c d d c c b b a c a a c	ungrammatical
b b a a b a b a b b c b c c a c b a b b d d b c	ungrammatical
b b b b c d a d a d b d b a b a b a b c a d d b	ungrammatical
b b c d c a b a b a b c c c d c b b b b a d a d	ungrammatical
b c a b a b a b d a b c c b a b b a d c b b b a	ungrammatical
b c b c c d c d a c d b b a a b a b a b d a b b	ungrammatical
b c d b c b c c a d b a c b a d a a b a b a b b	ungrammatical
b d a d a b a b a b b b b a d d c d c a b c a a	ungrammatical
b d c a b a b a b b c a b b a d c b c d b c c b	ungrammatical
b d d d c c d c b a c c c a a b a b a b c d c a	ungrammatical
c a b a b a b a d a d a d c d c a a d a c d b a	ungrammatical
c a c a b c a c c c b a c d b d d a b a b a b a	ungrammatical
c a d c a d a a a b a b a b d d a a d b a c b d	ungrammatical
c b a c c c a c b d a a d a b a b a b a a a c b	ungrammatical
c b c a d b a a b a b a b a a a d b d b d c d c	ungrammatical
c b d c d a b a b a b a b b a c d c b d a c d d	ungrammatical
